index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
0,scene,high,jpeg,47,HDR photo with tone-mapped highlights,screen-lit in a dark room,inconsistent shadows,as if screenshotted from TikTok,,,,,,,children playing in a schoolyard,"A HDR photo with tone-mapped highlights of children playing in a schoolyard, with screen-lit in a dark room, inconsistent shadows, as if screenshotted from TikTok"
1,scene,low,webp,56,medium format film photo,tungsten indoor lighting with warm cast,,as if shared on WhatsApp with compression,,,,,,,a classroom full of students,"A medium format film photo of a classroom full of students, with tungsten indoor lighting with warm cast, as if shared on WhatsApp with compression"
2,scene,medium,webp,75,satellite imagery,direct flash,chromatic aberration,as if saved from a YouTube video at 480p,,,,,,,a church congregation during service,"A satellite imagery of a church congregation during service, with direct flash, chromatic aberration, as if saved from a YouTube video at 480p"
3,nature,high,jpeg,45,real estate listing photo,neon lighting,,as if forwarded on Telegram multiple times,,,,,,,a tropical beach with palm trees,"A real estate listing photo of a tropical beach with palm trees, with neon lighting, as if forwarded on Telegram multiple times"
4,face,medium,jpeg,70,security camera CCTV footage,very low ambient light,slight motion blur,,Middle Eastern,light skin,middle-aged,person,home interior,face partially in shadow,,"A security camera CCTV footage of a middle-aged Middle Eastern person with light skin in home interior, with very low ambient light, slight motion blur, face partially in shadow"
5,nature,medium,jpeg,90,large format film photo,screen-lit in a dark room,,as if saved from a YouTube video at 480p,,,,,,,a horse standing in a pasture,"A large format film photo of a horse standing in a pasture, with screen-lit in a dark room, as if saved from a YouTube video at 480p"
6,face,high,png,100,black and white film photo,backlit with rim lighting,,,South Asian,,elderly,person,government building,face reflected in mirror,,"A black and white film photo of a elderly South Asian person in government building, with backlit with rim lighting, face reflected in mirror"
7,nature,medium,jpeg,58,real estate listing photo,screen-lit in a dark room,heavy noise or grain,,,,,,,,a savanna with acacia trees,"A real estate listing photo of a savanna with acacia trees, with screen-lit in a dark room, heavy noise or grain"
8,face,low,webp,56,early 2000s digital camera photo,dappled shade under trees,heavy JPEG compression artifacts,as if downloaded from Instagram,Eastern European,,elderly,woman,busy street,face at sharp angle,,"A early 2000s digital camera photo of a elderly Eastern European woman in busy street, with dappled shade under trees, heavy JPEG compression artifacts, face at sharp angle, as if downloaded from Instagram"
9,face,high,webp,66,old flip phone camera photo,harsh overhead fluorescent lighting,,as if shared on WhatsApp with compression,West African,,young,woman,outdoor park,face reflected in mirror,,"A old flip phone camera photo of a young West African woman in outdoor park, with harsh overhead fluorescent lighting, face reflected in mirror, as if shared on WhatsApp with compression"
10,face,high,webp,58,selfie,golden hour sunlight,inconsistent shadows,,Indigenous,very dark skin,middle-aged,woman,inside a vehicle,face mid-expression with motion blur,,"A selfie of a middle-aged Indigenous woman with very dark skin in inside a vehicle, with golden hour sunlight, inconsistent shadows, face mid-expression with motion blur"
11,face,low,webp,80,Polaroid instant photo,dramatic side lighting,overexposed highlights,,South Asian,,young,person,government building,face very small in frame,,"A Polaroid instant photo of a young South Asian person in government building, with dramatic side lighting, overexposed highlights, face very small in frame"
12,face,medium,png,100,documentary-style photo,screen-lit in a dark room,digital zoom pixelation,as if downloaded from Instagram,Middle Eastern,,middle-aged,man,stairwell,,,"A documentary-style photo of a middle-aged Middle Eastern man in stairwell, with screen-lit in a dark room, digital zoom pixelation, as if downloaded from Instagram"
13,nature,low,webp,90,HDR photo with tone-mapped highlights,tungsten indoor lighting with warm cast,overexposed highlights,as if downloaded from Instagram,,,,,,,a handwritten note on a refrigerator,"A HDR photo with tone-mapped highlights of a handwritten note on a refrigerator, with tungsten indoor lighting with warm cast, overexposed highlights, as if downloaded from Instagram"
14,face,medium,jpeg,67,GoPro wide-angle action shot,soft natural daylight,lens distortion,,Pacific Islander,,elderly,woman,parking garage,,,"A GoPro wide-angle action shot of a elderly Pacific Islander woman in parking garage, with soft natural daylight, lens distortion"
15,scene,high,png,100,screen recording or screenshot,mixed indoor-outdoor lighting,color banding,,,,,,,,a protest march with crowds,"A screen recording or screenshot of a protest march with crowds, with mixed indoor-outdoor lighting, color banding"
16,face,medium,jpeg,85,black and white film photo,flat overcast daylight,chromatic aberration,,Central Asian,,young,person,gym or fitness center,face very small in frame,,"A black and white film photo of a young Central Asian person in gym or fitness center, with flat overcast daylight, chromatic aberration, face very small in frame"
17,nature,high,png,100,ATM security camera image,dramatic side lighting,,as if saved from a YouTube video at 480p,,,,,,,a desert landscape with sand dunes,"A ATM security camera image of a desert landscape with sand dunes, with dramatic side lighting, as if saved from a YouTube video at 480p"
18,face,medium,webp,60,documentary-style photo,golden hour sunlight,color banding,as if downloaded from Instagram,Pacific Islander,,middle-aged,person,home interior,wearing sunglasses,,"A documentary-style photo of a middle-aged Pacific Islander person in home interior, with golden hour sunlight, color banding, wearing sunglasses, as if downloaded from Instagram"
19,scene,low,png,100,real estate listing photo,nighttime artificial lighting,inconsistent shadows,as if screenshotted from TikTok,,,,,,,a farmers market on a weekend morning,"A real estate listing photo of a farmers market on a weekend morning, with nighttime artificial lighting, inconsistent shadows, as if screenshotted from TikTok"
20,face,low,png,100,mugshot-style photo,direct flash,,as if saved from a YouTube video at 480p,Southern European,medium skin,elderly,person,stairwell,,,"A mugshot-style photo of a elderly Southern European person with medium skin in stairwell, with direct flash, as if saved from a YouTube video at 480p"
